Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,1585.576904,1634.742065,1560.994263,1585.576904,1031.163574,95150682
2011-01-04,1622.450806,1634.742065,1573.285645,1622.450806,1055.144043,110279277
2011-01-05,1683.907227,1696.198608,1610.159546,1683.907227,1095.111694,152404622
2011-01-06,1647.033325,1696.198608,1622.450806,1647.033325,1071.131104,152925316
2011-01-07,1573.285645,1659.324707,1548.703003,1573.285645,1023.169861,216718438
2011-01-10,1474.955200,1548.703003,1425.790039,1474.955200,959.222046,304050578
2011-01-11,1425.790039,1487.246582,1388.916260,1425.790039,927.247803,348651253
2011-01-12,1450.372681,1462.663940,1401.207520,1450.372681,943.234924,270158703
2011-01-13,1438.081421,1474.955200,1425.790039,1438.081421,935.241455,260812656
2011-01-14,1413.498779,1450.372681,1388.916260,1413.498779,919.254395,202789879
2011-01-17,1388.916260,1425.790039,1376.624878,1388.916260,903.267456,141899219
2011-01-18,1376.624878,1401.207520,1339.750977,1376.624878,895.273621,274916135
2011-01-19,1413.498779,1438.081421,1364.333618,1413.498779,919.254395,233647087
2011-01-20,1425.790039,1450.372681,1388.916260,1425.790039,927.247803,265401270
2011-01-21,1376.624878,1401.207520,1315.168457,1376.624878,895.273621,284522528
2011-01-24,1352.042358,1376.624878,1327.459717,1352.042358,879.286926,117286269
2011-01-25,1388.916260,1401.207520,1339.750977,1388.916260,903.267456,242061579
2011-01-26,1462.663940,1474.955200,1364.333618,1462.663940,951.228394,317964898
2011-01-27,1474.955200,1499.537842,1450.372681,1474.955200,959.222046,266066375
2011-01-28,1487.246582,1487.246582,1450.372681,1487.246582,967.215576,195030322
2011-01-31,1462.663940,1487.246582,1413.498779,1462.663940,951.228394,292221067
2011-02-01,1499.537842,1524.120483,1474.955200,1499.537842,975.208923,217489308
2011-02-02,1499.537842,1536.411743,1487.246582,1499.537842,975.208923,140406292
2011-02-04,1462.663940,1499.537842,1462.663940,1462.663940,951.228394,120914854
2011-02-07,1474.955200,1499.537842,1450.372681,1474.955200,959.222046,132939625
2011-02-08,1487.500000,1512.500000,1450.000000,1487.500000,967.380249,358712000
2011-02-09,1425.000000,1462.500000,1387.500000,1425.000000,926.734009,294540000
2011-02-10,1400.000000,1400.000000,1350.000000,1400.000000,910.475403,220698000
2011-02-11,1387.500000,1400.000000,1350.000000,1387.500000,902.346313,135396000
2011-02-14,1400.000000,1400.000000,1375.000000,1400.000000,910.475403,187544000
2011-02-16,1400.000000,1400.000000,1337.500000,1400.000000,910.475403,293026000
2011-02-17,1387.500000,1400.000000,1362.500000,1387.500000,902.346313,177038000
2011-02-18,1475.000000,1487.500000,1375.000000,1475.000000,959.250916,547086000
2011-02-21,1500.000000,1512.500000,1462.500000,1500.000000,975.509460,390874000
2011-02-22,1487.500000,1487.500000,1437.500000,1487.500000,967.380249,233138000
2011-02-23,1450.000000,1475.000000,1450.000000,1450.000000,942.992371,146254000
2011-02-24,1412.500000,1462.500000,1387.500000,1412.500000,918.604675,199266000
2011-02-25,1437.500000,1437.500000,1387.500000,1437.500000,934.863220,155624000
2011-02-28,1450.000000,1450.000000,1412.500000,1450.000000,942.992371,135008000
2011-03-01,1475.000000,1475.000000,1425.000000,1475.000000,959.250916,169524000
2011-03-02,1487.500000,1487.500000,1437.500000,1487.500000,967.380249,159902000
2011-03-03,1475.000000,1500.000000,1462.500000,1475.000000,959.250916,154538000
2011-03-04,1550.000000,1550.000000,1487.500000,1550.000000,1008.026611,346090000
2011-03-07,1587.500000,1600.000000,1512.500000,1587.500000,1032.414063,300574000
2011-03-08,1600.000000,1612.500000,1575.000000,1600.000000,1040.543457,159952000
2011-03-09,1600.000000,1612.500000,1562.500000,1600.000000,1040.543457,200842000
2011-03-10,1587.500000,1587.500000,1562.500000,1587.500000,1032.414063,101850000
2011-03-11,1537.500000,1562.500000,1512.500000,1537.500000,999.897278,142716000
2011-03-14,1537.500000,1550.000000,1512.500000,1537.500000,999.897278,118040000
2011-03-15,1500.000000,1512.500000,1475.000000,1500.000000,975.509460,140100000
2011-03-16,1525.000000,1525.000000,1487.500000,1525.000000,991.767944,179124000
2011-03-17,1487.500000,1500.000000,1475.000000,1487.500000,967.380249,127068000
2011-03-18,1500.000000,1500.000000,1475.000000,1500.000000,975.509460,115816000
2011-03-21,1500.000000,1512.500000,1475.000000,1500.000000,975.509460,120318000
2011-03-22,1500.000000,1512.500000,1487.500000,1500.000000,975.509460,127502000
2011-03-23,1487.500000,1512.500000,1475.000000,1487.500000,967.380249,434872000
2011-03-24,1537.500000,1537.500000,1487.500000,1537.500000,999.897278,249126000
2011-03-25,1575.000000,1575.000000,1537.500000,1575.000000,1024.285034,311256000
2011-03-28,1550.000000,1587.500000,1537.500000,1550.000000,1008.026611,133052000
2011-03-29,1600.000000,1600.000000,1537.500000,1600.000000,1040.543457,185728000
2011-03-30,1625.000000,1625.000000,1587.500000,1625.000000,1056.802002,156632000
2011-03-31,1700.000000,1700.000000,1625.000000,1700.000000,1105.577393,335866000
2011-04-01,1712.500000,1712.500000,1675.000000,1712.500000,1113.706787,136062000
2011-04-04,1712.500000,1737.500000,1700.000000,1712.500000,1113.706787,236652000
2011-04-05,1662.500000,1725.000000,1650.000000,1662.500000,1081.189697,105876000
2011-04-06,1700.000000,1712.500000,1650.000000,1700.000000,1105.577393,204864000
2011-04-07,1700.000000,1725.000000,1687.500000,1700.000000,1105.577393,114000000
2011-04-08,1750.000000,1750.000000,1700.000000,1750.000000,1138.094238,228924000
2011-04-11,1737.500000,1762.500000,1712.500000,1737.500000,1129.965088,82458000
2011-04-12,1712.500000,1725.000000,1700.000000,1712.500000,1113.706787,51890000
2011-04-13,1700.000000,1712.500000,1687.500000,1700.000000,1105.577393,106062000
2011-04-14,1675.000000,1700.000000,1662.500000,1675.000000,1089.318970,88770000
2011-04-15,1700.000000,1700.000000,1675.000000,1700.000000,1105.577393,71234000
2011-04-18,1675.000000,1700.000000,1662.500000,1675.000000,1089.318970,81782000
2011-04-19,1675.000000,1687.500000,1637.500000,1675.000000,1089.318970,68724000
2011-04-20,1775.000000,1775.000000,1687.500000,1775.000000,1154.352783,355208000
2011-04-21,1775.000000,1787.500000,1737.500000,1775.000000,1154.352783,133534000
2011-04-25,1762.500000,1787.500000,1750.000000,1762.500000,1146.223389,63496000
2011-04-26,1750.000000,1762.500000,1725.000000,1750.000000,1138.094238,50610000
2011-04-27,1787.500000,1787.500000,1750.000000,1787.500000,1162.482178,144352000
2011-04-28,1762.500000,1812.500000,1750.000000,1762.500000,1146.223389,86680000
2011-04-29,1787.500000,1787.500000,1750.000000,1787.500000,1162.482178,131152000
2011-05-02,1837.500000,1837.500000,1787.500000,1837.500000,1194.999146,175864000
2011-05-03,1825.000000,1837.500000,1800.000000,1825.000000,1186.869995,86486000
2011-05-04,1800.000000,1812.500000,1775.000000,1800.000000,1170.611450,134974000
2011-05-05,1800.000000,1800.000000,1762.500000,1800.000000,1170.611450,122802000
2011-05-06,1750.000000,1787.500000,1737.500000,1750.000000,1138.094238,195296000
2011-05-09,1725.000000,1750.000000,1725.000000,1725.000000,1121.835938,120748000
2011-05-10,1762.500000,1775.000000,1700.000000,1762.500000,1146.223389,293226000
2011-05-11,1787.500000,1787.500000,1762.500000,1787.500000,1162.482178,135602000
2011-05-12,1762.500000,1787.500000,1750.000000,1762.500000,1146.223389,91356000
2011-05-13,1787.500000,1787.500000,1775.000000,1787.500000,1162.482178,83126000
2011-05-16,1762.500000,1787.500000,1737.500000,1762.500000,1146.223389,118688000
2011-05-18,1775.000000,1787.500000,1762.500000,1775.000000,1154.352783,86030000
2011-05-19,1812.500000,1812.500000,1775.000000,1812.500000,1178.740601,220650000
2011-05-20,1812.500000,1825.000000,1800.000000,1812.500000,1178.740601,99646000
2011-05-23,1775.000000,1800.000000,1750.000000,1775.000000,1154.352783,95004000
2011-05-24,1775.000000,1775.000000,1750.000000,1775.000000,1154.352783,78786000
2011-05-25,1737.500000,1762.500000,1725.000000,1737.500000,1129.965088,115124000
2011-05-26,1750.000000,1762.500000,1737.500000,1750.000000,1138.094238,95060000
2011-05-27,1787.500000,1787.500000,1725.000000,1787.500000,1162.482178,93642000
2011-05-30,1800.000000,1812.500000,1775.000000,1800.000000,1170.611450,174292000
2011-05-31,1800.000000,1812.500000,1775.000000,1800.000000,1170.611450,129632000
2011-06-01,1787.500000,1812.500000,1787.500000,1787.500000,1162.482178,74528000
2011-06-03,1775.000000,1775.000000,1750.000000,1775.000000,1154.352783,150558000
2011-06-06,1750.000000,1762.500000,1750.000000,1750.000000,1138.094238,63178000
2011-06-07,1762.500000,1762.500000,1737.500000,1762.500000,1146.223389,68208000
2011-06-08,1750.000000,1762.500000,1725.000000,1750.000000,1138.094238,142582000
2011-06-09,1737.500000,1750.000000,1725.000000,1737.500000,1129.965088,90362000
2011-06-10,1750.000000,1750.000000,1725.000000,1750.000000,1138.094238,107274000
2011-06-13,1725.000000,1737.500000,1712.500000,1725.000000,1121.835938,43116000
2011-06-14,1737.500000,1750.000000,1725.000000,1737.500000,1129.965088,93508000
2011-06-15,1737.500000,1762.500000,1737.500000,1737.500000,1129.965088,89452000
2011-06-16,1687.500000,1712.500000,1675.000000,1687.500000,1116.827759,159672000
